,type,organization,comment,photo,photo_after,coords,subdistrict,district,timestamp,state,star,last_activity,severity,time_to_solve
0,"{น้ำท่วม,ร้องเรียน}","เขตประเวศ,ฝ่ายโยธา เขตประเวศ",น้ำท่วมเวลาฝนตกและทะลุเข้าบ้านเดือดร้อนมากทุกๆปีจะมีเครื่องสูบน้ำแต่ปีนี้ไม่มีกทม.ปล่อยทิ้ง ชุมชนเคหะนคร1แปลง2(ซ.เฉลิมพระเกียรติร.9ซอง22 วัดตะกล่ำ ประเวศ),https://storage.googleapis.com/traffy_public_bucket/attachment/2021-09/41ef2b1b465b708db17363a6d5fd8c5336266df7.jpg,https://storage.googleapis.com/traffy_public_bucket/attachment/2022-06/b562e36f971f02221bd0f32b7272eb1ea516cacf.jpg,"100.66709,13.67891",หนองบอน,ประเวศ,2021-09-19 14:56:08.924992+00,เสร็จสิ้น,4.0,2022-06-21 08:21:09.532782+00,Very Low,6
1,{ความสะอาด},"เขตประเวศ,ฝ่ายเทศกิจ เขตประเวศ,ฝ่ายรักษาความสะอาดฯ เขตประเวศ",คนเอาขยะมาทิ้งจนกลายเป็นกองขยะค่ะ,https://storage.googleapis.com/traffy_public_bucket/attachment/2021-12/58ea35fdc7b20088e2fa2c318253f803081202c3.jpg,https://storage.googleapis.com/traffy_public_bucket/attachment/2022-06/c41f745b0d07f83da5720936cb164a290e42e2a4.jpg,"100.64690,13.67083",หนองบอน,ประเวศ,2021-12-18 14:50:52.437512+00,เสร็จสิ้น,2.0,2024-11-26 04:17:39.760344+00,Very Low,4
2,{ท่อระบายน้ำ},"เขตประเวศ,ฝ่ายโยธา เขตประเวศ",ขอแจ้งเรื่องท่อระบายน้ำบนถนนในซอยเสียหาย เป็นรูจากการลอกท่อค่ะ,https://storage.googleapis.com/traffy_public_bucket/attachment/2021-12/199ab68aa08d2eb84bccb005a357356b96bdd3b2.jpg,https://storage.googleapis.com/traffy_public_bucket/attachment/2022-06/628bbe924933296948f3d441c00a1915cbc92b8d.jpg,"100.65440,13.68158",หนองบอน,ประเวศ,2021-12-22 10:15:33.294829+00,เสร็จสิ้น,5.0,2022-06-20 13:12:04.99444+00,Very Low,9
3,{ความสะอาด},"เขตประเวศ,สำนักสิ่งแวดล้อม กทม.,ฝ่ายสิ่งแวดล้อมฯ เขตประเวศ",ปัญหากลิ่นขยะจากโรงขยะ 800 ตัน อ่อนนุช 86 ครับ,https://storage.googleapis.com/traffy_public_bucket/attachment/2021-12/a1fba0d90348d351fc2da6db59edcc5acab50a11.jpg,https://storage.googleapis.com/traffy_public_bucket/attachment/2022-06/acaedb2c088bda5cbf7cc716465915bb9fda706f.jpg,"100.68837,13.71887",ประเวศ,ประเวศ,2021-12-28 03:59:06.003252+00,เสร็จสิ้น,4.0,2022-07-12 06:50:02.31526+00,Very Low,10
4,{ความสะอาด},เขตดุสิต,ขยะ,https://storage.googleapis.com/traffy_public_bucket/attachment/2022-01/4e72fb3b0add375d0c58ad4bbbcbd81c07d42495.jpg,https://storage.googleapis.com/traffy_public_bucket/attachment/2023-05/1684300565004.jpeg,"100.51523,13.75824",สวนจิตรลดา,ดุสิต,2022-01-28 04:09:47.823237+00,เสร็จสิ้น,4.0,2023-05-17 05:16:34.660298+00,Very Low,11
5,{ถนน},"เขตสาทร,สำนักการจราจรและขนส่ง กรุงเทพมหานคร (สจส. กทม.)",เรื่องทางม้าลายหายไป บริเวณสี่แยกถนนจันทร์-เซนต์หลุยส์,https://storage.googleapis.com/traffy_public_bucket/attachment/2022-02/215741aea77e74cd10d3b3e71947e5e6bd7ecb4f.jpg,https://storage.googleapis.com/traffy_public_bucket/attachment/2023-02/aad8e445446dd060307214504cef198b779d3823.png,"100.52680,13.70629",ทุ่งวัดดอน,สาทร,2022-02-01 18:11:20.963592+00,เสร็จสิ้น,1.0,2023-02-10 09:48:30.498845+00,Very Low,13
6,{น้ำท่วม},"เขตสาทร,สำนักการระบายน้ำ กทม.,กองระบบท่อระบายน้ำ สำนักการระบายน้ำ",ปัญหาน้ำท่วมในซอยสวนพลู 1,https://storage.googleapis.com/traffy_public_bucket/attachment/2022-02/ad51ef503293d69339e06e994defe64f232a4300.jpg,https://storage.googleapis.com/traffy_public_bucket/attachment/2022-11/b222778aed7b79b8f75e41fada80f4e2c6189ce9.jpg,"100.53882,13.71880",ทุ่งมหาเมฆ,สาทร,2022-02-04 12:06:06.193756+00,เสร็จสิ้น,3.0,2022-11-13 05:55:26.387723+00,Very Low,10
7,{คลอง},"เขตปทุมวัน,สำนักการระบายน้ำ กทม.,สำนักงานระบบควบคุมน้ำ สำนักการระบายน้ำ",น้ำในคลองเน่าเหม็นมากครับ,https://storage.googleapis.com/traffy_public_bucket/attachment/2022-02/df183e8a529b9056ccbe771aab2324295751d3c1.jpg,https://storage.googleapis.com/traffy_public_bucket/attachment/2024-03/1709861024423.jpeg,"100.52194,13.73865",รองเมือง,ปทุมวัน,2022-02-23 11:01:23.541336+00,เสร็จสิ้น,3.0,2024-03-08 01:23:46.164151+00,Very Low,7
8,{ความสะอาด},"เขตประเวศ,สำนักสิ่งแวดล้อม กทม.,ฝ่ายสิ่งแวดล้อมฯ เขตประเวศ",1.ปัญหากลิ่นขยะรบกวน ช่วงเย็น-กลางคืน ผมใช้ app windy เพื่อดูทิศทางลม สันนิษฐานว่าน่าจะมาจาก โรงงานกำจัดขยะอ่อนนุช ครับ,https://storage.googleapis.com/traffy_public_bucket/attachment/2022-02/705c1973dd147f4a4eaee59254efe281deb3432d.jpg,https://storage.googleapis.com/traffy_public_bucket/attachment/2022-06/de054775f64d37a33930ef73ffe5d94e6cd88a22.jpg,"100.69788,13.68411",ดอกไม้,ประเวศ,2022-02-26 14:36:51.542139+00,เสร็จสิ้น,5.0,2022-07-12 06:50:53.034493+00,Very Low,3
9,{น้ำท่วม},"เขตตลิ่งชัน,ฝ่ายโยธา เขตตลิ่งชัน",การแก้ปัญหาเรื่องน้ำท่วมในหมู่บ้านเวลาฝนตกหนัก น้ำระบายไม่ทัน,https://storage.googleapis.com/traffy_public_bucket/attachment/2022-03/f5622f4d0a44730f09f58abdb987bdfb646ba618.jpg,https://storage.googleapis.com/traffy_public_bucket/attachment/2024-03/1709885406311.jpeg,"100.42054,13.76444",บางระมาด,ตลิ่งชัน,2022-03-03 09:05:34.238272+00,เสร็จสิ้น,1.0,2024-03-08 08:10:07.652115+00,Very Low,2
